variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e1_atr0.3	161000	20260403	True	10.6557	27.1655	6	6	10186810.0000	10262230.0000	75420.0000	43656.1100	1703606.6250	2.5626	0.4271	-3.1659	"{""tp"": 3, ""stop"": 2, ""eod"": 1}"
e2_atr0.5	161000	20260403	True	10.6557	27.1655	4	4	6796410.0000	6841660.0000	45250.0000	24070.2665	1703006.2350	1.4134	0.2356	-4.2670	"{""tp"": 2, ""stop"": 1, ""eod"": 1}"
e3_atr1.5	161000	20260403	True	10.6557	27.1655	3	3	5094510.0000	5140430.0000	45920.0000	30014.5150	1703006.2350	1.7624	0.2937	-6.3317	"{""tp"": 2, ""eod"": 1}"
e4_atr2.0	161000	20260403	True	10.6557	27.1655	3	3	5094510.0000	5140430.0000	45920.0000	30014.5150	1703006.2350	1.7624	0.2937	-6.3317	"{""tp"": 2, ""eod"": 1}"
e5_atr2.5	161000	20260403	True	10.6557	27.1655	3	3	5094510.0000	5140430.0000	45920.0000	30014.5150	1703006.2350	1.7624	0.2937	-6.3317	"{""tp"": 2, ""eod"": 1}"
e6_delay1	161000	20260403	True	10.6557	27.1655	4	4	6790380.0000	6792080.0000	1700.0000	-19354.3430	1701155.0325	-1.1377	-0.1896	-3.1659	"{""tp"": 1, ""stop"": 2, ""eod"": 1}"
e7_delay2	161000	20260403	True	10.6557	27.1655	3	3	5098710.0000	5109860.0000	11150.0000	-4683.3185	1703006.2350	-0.2750	-0.0458	-3.1659	"{""tp"": 1, ""stop"": 1, ""eod"": 1}"
e8_delay3	161000	20260403	True	10.6557	27.1655	3	3	5096450.0000	5017450.0000	-79000.0000	-94605.4450	1701155.0325	-5.5612	-0.9269	-2.8470	"{""stop"": 2, ""eod"": 1}"
e9_nostop	161000	20260403	True	10.6557	27.1655	3	3	5094510.0000	5140430.0000	45920.0000	30014.5150	1703006.2350	1.7624	0.2937	-6.3317	"{""tp"": 2, ""eod"": 1}"
e0_base_stop2.5	474610	20260403	True	13.6244	17.5621	7	7	11889890.0000	12056440.0000	166550.0000	129283.2935	1705247.6910	7.5815	1.2636	-3.3539	"{""stop"": 2, ""tp"": 5}"
e1_atr0.3	474610	20260403	True	13.6244	17.5621	7	7	11901260.0000	12031880.0000	130620.0000	93406.0750	1705247.6910	5.4776	0.9129	-5.4722	"{""stop"": 1, ""tp"": 5, ""eod"": 1}"
e2_atr0.5	474610	20260403	True	13.6244	17.5621	6	6	10189090.0000	10242510.0000	53420.0000	21702.9420	1705247.6910	1.2727	0.2121	-6.1783	"{""stop"": 1, ""tp"": 4, ""eod"": 1}"
e3_atr1.5	474610	20260403	True	13.6244	17.5621	4	4	6795440.0000	6898690.0000	103250.0000	81931.1735	1705247.6910	4.8046	0.8008	-7.3257	"{""tp"": 3, ""eod"": 1}"
e4_atr2.0	474610	20260403	True	13.6244	17.5621	4	4	6795440.0000	6898690.0000	103250.0000	81931.1735	1705247.6910	4.8046	0.8008	-7.3257	"{""tp"": 3, ""eod"": 1}"
e5_atr2.5	474610	20260403	True	13.6244	17.5621	4	4	6795440.0000	6898690.0000	103250.0000	81931.1735	1705247.6910	4.8046	0.8008	-7.3257	"{""tp"": 3, ""eod"": 1}"
e6_delay1	474610	20260403	True	13.6244	17.5621	7	7	11906210.0000	12075240.0000	169030.0000	131706.6255	1705247.6910	7.7236	1.2873	-3.0400	"{""stop"": 2, ""tp"": 5}"
e7_delay2	474610	20260403	True	13.6244	17.5621	4	4	6799530.0000	6911310.0000	111780.0000	90427.5960	1704237.0345	5.3060	0.8843	-3.0400	"{""tp"": 3, ""stop"": 1}"
e8_delay3	474610	20260403	True	13.6244	17.5621	3	3	5097090.0000	5170360.0000	73270.0000	57289.5095	1705407.7950	3.3593	0.5599	-2.6029	"{""tp"": 2, ""eod"": 1}"
e9_nostop	474610	20260403	True	13.6244	17.5621	4	4	6795440.0000	6898690.0000	103250.0000	81931.1735	1705247.6910	4.8046	0.8008	-7.3257	"{""tp"": 3, ""eod"": 1}"
e0_base_stop2.5	393890	20260403	True	13.7364	20.6685	4	4	6783730.0000	6722110.0000	-61620.0000	-82498.5940	1704787.3920	-4.8392	-0.8065	-3.4800	"{""stop"": 2, ""tp"": 1, ""eod"": 1}"
e1_atr0.3	393890	20260403	True	13.7364	20.6685	4	4	6766350.0000	6667830.0000	-98520.0000	-119254.3110	1696311.8865	-7.0302	-1.1717	-4.3992	"{""stop"": 2, ""tp"": 1, ""eod"": 1}"
e2_atr0.5	393890	20260403	True	13.7364	20.6685	2	2	3386450.0000	3264560.0000	-121890.0000	-132089.3645	1697022.3480	-7.7836	-1.2973	-6.1064	"{""stop"": 1, ""eod"": 1}"
e3_atr1.5	393890	20260403	True	13.7364	20.6685	1	1	1690530.0000	1602840.0000	-87690.0000	-92715.8025	1691628.8445	-5.4809	-0.9135	-8.3388	"{""eod"": 1}"
e4_atr2.0	393890	20260403	True	13.7364	20.6685	1	1	1690530.0000	1602840.0000	-87690.0000	-92715.8025	1691628.8445	-5.4809	-0.9135	-8.3388	"{""eod"": 1}"
e5_atr2.5	393890	20260403	True	13.7364	20.6685	1	1	1690530.0000	1602840.0000	-87690.0000	-92715.8025	1691628.8445	-5.4809	-0.9135	-8.3388	"{""eod"": 1}"
e6_delay1	393890	20260403	True	13.7364	20.6685	4	4	6787130.0000	6728400.0000	-58730.0000	-79626.2145	1703506.5600	-4.6743	-0.7790	-3.2895	"{""stop"": 2, ""tp"": 1, ""eod"": 1}"
e7_delay2	393890	20260403	True	13.7364	20.6685	3	3	5081520.0000	5071640.0000	-9880.0000	-25608.5060	1701665.3640	-1.5049	-0.2508	-3.0696	"{""stop"": 1, ""tp"": 1, ""eod"": 1}"
e8_delay3	393890	20260403	True	13.7364	20.6685	3	3	5089920.0000	5080040.0000	-9880.0000	-25634.5460	1701665.3640	-1.5064	-0.2511	-3.0696	"{""stop"": 1, ""tp"": 1, ""eod"": 1}"
e9_nostop	393890	20260403	True	13.7364	20.6685	1	1	1690530.0000	1602840.0000	-87690.0000	-92715.8025	1691628.8445	-5.4809	-0.9135	-8.3388	"{""eod"": 1}"
e0_base_stop2.5	023160	20260403	True	9.7221	22.4363	7	7	11816800.0000	11897150.0000	80350.0000	43521.0625	1704657.3075	2.5531	0.4255	-3.7304	"{""tp"": 4, ""stop"": 2, ""eod"": 1}"
e1_atr0.3	023160	20260403	True	9.7221	22.4363	7	7	11816800.0000	11897150.0000	80350.0000	43521.0625	1704657.3075	2.5531	0.4255	-3.7304	"{""tp"": 4, ""stop"": 2, ""eod"": 1}"
e2_atr0.5	023160	20260403	True	9.7221	22.4363	6	6	10129650.0000	10242800.0000	113150.0000	81470.8675	1704657.3075	4.7793	0.7966	-4.4525	"{""tp"": 4, ""stop"": 1, ""eod"": 1}"
