variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w_take1.0_stop3.0_atr4.0_dev-3.0	202512	111	149	80	0.0528	-0.8039	0.4775	314821440.0000	235310371.2620	1147180.0000	755049.4260	392130.5740	1.3379	0.3418
w_take1.0_stop3.0_atr4.0_dev-3.0	202601	89	152	107	0.1302	-0.7407	0.6854	321757550.0000	189438461.5075	2015350.0000	1491001.8325	524348.1675	1.6985	0.2602
w_take1.0_stop3.0_atr4.0_dev-3.0	202602	35	54	35	0.0585	-1.1589	0.5429	114621190.0000	74036453.8025	427910.0000	255583.9425	172326.0575	1.5482	0.4027
w_take1.0_stop3.0_atr4.0_dev-3.0	202603	6	8	5	-0.3208	-3.3759	0.1667	16979400.0000	12903235.1950	-224600.0000	-248455.2500	23855.2500	1.3159	0.1062
w_take1.0_stop3.0_atr4.0_dev-3.0	202604	29	38	26	0.0237	-0.9960	0.4828	80662330.0000	61812280.4515	216130.0000	88338.9765	127791.0235	1.3050	0.5913
w_take1.0_stop3.0_atr4.0_dev-3.0	202605	25	45	38	0.1448	-1.3645	0.7200	93604300.0000	53325447.6175	643050.0000	459406.2425	183643.7575	1.7553	0.2856
w_take1.0_stop3.0_atr4.0_dev-3.0	202606	7	10	7	0.0332	-2.0442	0.4286	20528800.0000	14508475.9450	60500.0000	27517.8750	32982.1250	1.4150	0.5452
w_take1.0_stop3.0_atr4.0_dev-3.0	202608	6	10	6	0.1313	-0.9788	0.6667	20620200.0000	12273240.7100	132100.0000	102268.5750	29831.4250	1.6801	0.2258
w_take1.0_stop3.0_atr4.0_dev-3.0	202609	40	66	49	0.1479	-1.0591	0.7000	139142900.0000	84542629.4925	998700.0000	758751.4250	239948.5750	1.6458	0.2403
w_take1.0_stop3.0_atr4.0_dev0.0	202509	53	70	37	0.0682	-0.8881	0.5094	146582270.0000	111304913.2330	638500.0000	457349.1050	181150.8950	1.3169	0.2837
w_take1.0_stop3.0_atr4.0_dev0.0	202510	68	93	61	0.0313	-1.1439	0.5147	194458100.0000	143699001.6175	573200.0000	276898.4350	296301.5650	1.3532	0.5169
w_take1.0_stop3.0_atr4.0_dev0.0	202511	60	89	61	0.1208	-0.7861	0.6833	189772030.0000	128851824.8750	1238610.0000	935672.6045	302937.3955	1.4728	0.2446
w_take1.0_stop3.0_atr4.0_dev0.0	202512	101	137	73	0.0683	-0.7505	0.4851	289693280.0000	213982302.5315	1246620.0000	888050.8080	358569.1920	1.3538	0.2876
w_take1.0_stop3.0_atr4.0_dev0.0	202601	84	146	104	0.1455	-0.7315	0.7262	309065600.0000	178804566.6625	2083400.0000	1572913.1000	510486.9000	1.7285	0.2450
w_take1.0_stop3.0_atr4.0_dev0.0	202602	34	53	35	0.0603	-1.1052	0.5588	112593190.0000	72008149.6025	427910.0000	255583.9425	172326.0575	1.5636	0.4027
w_take1.0_stop3.0_atr4.0_dev0.0	202603	4	6	4	-0.2754	-3.3759	0.2500	12654800.0000	8577986.5050	-122100.0000	-141610.1250	19510.1250	1.4753	0.1598
w_take1.0_stop3.0_atr4.0_dev0.0	202604	27	36	25	0.0208	-0.8746	0.4444	76620830.0000	57603549.2365	196130.0000	72970.4765	123159.5235	1.3301	0.6279
