variant	atr_max	dev_lo	dev_hi	days	buys	gross_pct	net_pct	net_per_buy	months_pos	months
l0_live	4	0	2	233	318	-0.0037287236934761304	-0.2337207069375352	-4955.359216981133	2	12
l0_live	3	0	5	266	333	-0.0038955281113743755	-0.23388715272593497	-4981.6897342342345	2	10
l0_live	99	-3	5	1975	3353	-0.004699027706370933	-0.23468892479751932	-4880.479961049807	1	13
stop1.5	99	-1	2	720	1246	-0.004739035273946079	-0.23472884634810712	-4885.356133146068	2	13
stop1.5	4	0	5	582	776	-0.005318157215730213	-0.2353067231777164	-4972.761706314433	2	12
stop1.5	99	-99	5	2164	3729	-0.0054352248864729235	-0.2354235391510311	-4891.624024832395	1	13
l0_live	4	-1	99	782	1059	-0.005787059833585618	-0.23577461765494342	-4982.643705476865	1	12
stop1.5	4	-1	5	625	842	-0.007138882908047486	-0.23712353430979513	-5012.899640261282	2	12
l0_live	99	-8	99	3101	5334	-0.007168374857518209	-0.23715296285067364	-4935.019930221223	0	13
l0_live	5	-3	2	452	692	-0.007589876662636167	-0.2375735584278115	-4962.081776011561	2	13
l0_live	3	-99	5	302	384	-0.00880881833768267	-0.2387898793782567	-5084.877009114584	1	10
l0_live	3	-3	5	302	384	-0.00880881833768267	-0.2387898793782567	-5084.877009114584	1	10
l0_live	3	-5	5	302	384	-0.00880881833768267	-0.2387898793782567	-5084.877009114584	1	10
l0_live	3	-8	5	302	384	-0.00880881833768267	-0.2387898793782567	-5084.877009114584	1	10
l0_live	3	-1	5	288	365	-0.008823170600758068	-0.2388042007839664	-5084.620809589041	1	10
l0_live	99	-5	5	2062	3555	-0.009355769798864131	-0.2393356548944734	-4973.53273440225	1	13
stop1.5	4	-8	2	309	434	-0.010248565528221391	-0.24022653111233574	-5072.00880529954	1	12
stop1.5	4	-5	2	309	434	-0.010248565528221391	-0.24022653111233574	-5072.00880529954	1	12
l0_live	99	-99	99	3135	5410	-0.010324481552459602	-0.24030228391578923	-4999.809371349354	0	13
l0_live	4	0	5	582	777	-0.01033290603355955	-0.24031069028558738	-5078.610315444015	1	12
stop1.5	4	-8	5	658	893	-0.010594784360212682	-0.24057200557383823	-5075.914074580067	2	12
stop1.5	4	-5	5	658	893	-0.010594784360212682	-0.24057200557383823	-5075.914074580067	2	12
l0_live	4	-5	99	815	1109	-0.01222295588466868	-0.2421966765295166	-5110.315115509467	2	12
l0_live	4	-8	99	815	1109	-0.01222295588466868	-0.2421966765295166	-5110.315115509467	2	12
stop1.5	4	-99	5	659	894	-0.012756177756548205	-0.2427287519743716	-5121.55786196868	2	12
l0_live	4	-99	99	816	1110	-0.014487381440128086	-0.24445623357003182	-5158.103133423423	2	12
l0_live	99	-8	5	2130	3717	-0.014494025211615854	-0.24446286305805806	-5081.02378377724	1	13
stop1.5	4	-99	2	310	435	-0.014688333295626273	-0.2446567533790407	-5165.823635632184	1	12
l0_live	4	-1	5	625	843	-0.015444863448444857	-0.24541165699203069	-5188.205611032028	1	12
stop1.5	4	-3	5	654	884	-0.015491289202328746	-0.24545798293054374	-5187.66443280543	2	12
l0_live	4	-3	99	811	1100	-0.01578303350480529	-0.24574909998276995	-5192.239002818182	1	12
l0_live	4	-1	2	276	384	-0.016052602630126592	-0.24601808953447182	-5217.138921875	2	12
