tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~15	on	none	2022bear	False	True	3096	245	12	-0.2792	-0.1978	-0.0815	-0.1366	-0.0542	-0.8696	0.4031	0.4167	-3.9780	-11.3348	-1.4813	-20.5822	8.4599	29.7874	0.0539	0.7280	0.0000	0.0000	
False	5~15	on	none	2024blackmon	False	False	4873	244	13	-0.1439	-0.1374	-0.0065	-0.0038	0.0365	1.1508	0.2722	0.6154	-3.9430	-10.2534	-1.5209	-10.9354	7.6602	32.8974	0.0599	0.7673	0.0000	0.0000	
False	5~15	on	none	2026now	False	False	3822	145	9	-0.0274	-0.1462	0.1188	0.0062	0.0500	0.6865	0.5118	0.6667	-3.7428	-9.3000	-1.5338	-10.1364	5.5395	45.4914	0.0618	0.8603	0.0000	0.0000	
False	5~15	on	none	all4	False	False	18816	870	46	-0.1180	-0.1249	0.0069	-0.0702	0.0024	0.0884	0.9300	0.5000	-3.8217	-9.7964	-1.5182		7.1277		0.0597	0.7970	0.0000		0.9300
False	5~15	on	2.5	2020covid	False	False	7025	236	12	-0.1219	-0.1191	-0.0028	-0.0189	-0.0066	-0.7616	0.4623	0.1667	-2.9221	-4.1212	-1.5259	-9.2270	1.5604	161.4943	0.1134	0.3853	0.6147	0.0000	
False	5~15	on	2.5	2022bear	False	True	3096	245	12	-0.1362	-0.1145	-0.0217	-0.0346	-0.0189	-1.7150	0.1144	0.3333	-2.9130	-4.2000	-1.4813	-9.6012	1.8446	136.6122	0.1142	0.3676	0.6315	0.0000	
False	5~15	on	2.5	2024blackmon	False	False	4873	244	13	-0.1322	-0.1230	-0.0092	-0.0246	-0.0096	-0.6788	0.5101	0.3846	-2.9703	-4.2697	-1.5209	-10.1664	1.7193	146.5739	0.1152	0.3669	0.6265	0.0000	
False	5~15	on	2.5	2026now	False	False	3822	145	9	-0.1278	-0.1670	0.0392	0.0498	0.0527	1.1932	0.2670	0.6667	-3.0913	-4.7366	-1.5338	-7.2300	1.4035	179.5570	0.1148	0.3736	0.6243	0.0000	
False	5~15	on	2.5	all4	False	False	18816	870	46	-0.1281	-0.1267	-0.0014	-0.0112	0.0010	0.0906	0.9282	0.3696	-2.9634	-4.2857	-1.5182		1.6164		0.1143	0.3753	0.6224		0.9300
False	5~15	on	6	2020covid	False	False	7025	236	12	-0.1046	-0.1058	0.0012	-0.0358	0.0146	0.6817	0.5096	0.4167	-3.7618	-6.6384	-1.5259	-9.9951	3.0142	83.6033	0.0749	0.6370	0.3603	0.0000	
