tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~35	on	2.5	2020covid	False	False	13405	247	12	-0.1475	-0.1191	-0.0284	-0.0406	-0.0364	-3.8100	0.0029	0.0833	-3.1497	-4.6858	-1.6807	-10.7048	1.3405	187.9833	0.1146	0.3551	0.6449	0.0000	
False	5~35	on	2.5	2022bear	False	True	5319	246	12	-0.1424	-0.1145	-0.0279	-0.0380	-0.0310	-2.4361	0.0330	0.0833	-3.1056	-4.7786	-1.6134	-9.8595	1.5430	163.3225	0.1147	0.3595	0.6400	0.0000	
False	5~35	on	2.5	2024blackmon	False	False	8905	245	13	-0.1535	-0.1230	-0.0306	-0.0355	-0.0262	-2.7196	0.0186	0.2308	-3.1990	-4.8362	-1.6949	-11.6520	1.4599	172.6200	0.1158	0.3435	0.6517	0.0000	
False	5~35	on	2.5	2026now	False	False	9140	144	9	-0.1623	-0.1670	0.0047	0.0328	0.0497	0.8740	0.4076	0.4444	-3.4388	-5.6841	-1.7466	-8.1351	1.2417	202.9500	0.1158	0.3352	0.6624	0.0000	
False	5~35	on	2.5	all4	False	False	36769	882	46	-0.1519	-0.1267	-0.0251	-0.0241	-0.0153	-1.2099	0.2326	0.1957	-3.2220	-4.9456	-1.6878		1.3741		0.1152	0.3480	0.6502		0.4265
False	5~35	on	6	2020covid	False	False	13405	247	12	-0.1304	-0.1058	-0.0246	-0.0546	-0.0365	-1.9002	0.0839	0.2500	-4.0625	-6.8750	-1.6807	-10.6499	2.3801	105.8787	0.0740	0.6188	0.3798	0.0000	
False	5~35	on	6	2022bear	False	True	5319	246	12	-0.1505	-0.1498	-0.0008	-0.0198	0.0078	0.3850	0.7076	0.5000	-4.1667	-7.0000	-1.6134	-10.3390	2.7477	91.7132	0.0737	0.6011	0.3944	0.0000	
False	5~35	on	6	2024blackmon	False	False	8905	245	13	-0.1476	-0.1425	-0.0052	-0.0272	-0.0079	-0.4425	0.6660	0.5385	-4.1339	-6.9767	-1.6949	-12.1036	2.5039	100.6440	0.0740	0.6009	0.3911	0.0000	
False	5~35	on	6	2026now	False	False	9140	144	9	-0.1500	-0.1731	0.0231	-0.0168	0.0146	0.2801	0.7865	0.4444	-4.2588	-7.4023	-1.7466	-9.8836	1.8218	138.3268	0.0735	0.6043	0.3932	0.0000	
False	5~35	on	6	all4	False	False	36769	882	46	-0.1424	-0.1392	-0.0032	-0.0304	-0.0069	-0.5168	0.6078	0.4348	-4.1434	-7.0229	-1.6878		2.3245		0.0739	0.6083	0.3880		0.7890
